sample	radius_um	injury_beads	fusing_foci	coq8a_positive_injury	observed_local_detection	random_foci_local_detection	observed_to_random_ratio	p_permutation	permutations	p_adj_bh_across_10_radius_tests
Young	25	11481	2082	149	0.015991184	0.013096875	1.2209923	0.00049975012	2000	0.00071392875
Young	50	11481	2083	149	0.0143616	0.01286586	1.1162565	0.00049975012	2000	0.00071392875
Young	75	11481	2083	149	0.014190351	0.012803883	1.1082849	0.00049975012	2000	0.00071392875
Young	100	11481	2083	149	0.013891858	0.012797498	1.0855136	0.00049975012	2000	0.00071392875
Young	150	11481	2083	149	0.013908849	0.012889025	1.0791234	0.00049975012	2000	0.00071392875
Geriatric	25	9697	1384	63	0.0070214581	0.0065712472	1.0685122	0.61769115	2000	0.61769115
Geriatric	50	9697	1388	63	0.0075142359	0.0066879357	1.1235509	0.055472264	2000	0.061635849
Geriatric	75	9697	1388	63	0.0074445375	0.0066333452	1.1222901	0.007996002	2000	0.0099950025
Geriatric	100	9697	1388	63	0.0072619903	0.0065514827	1.1084499	0.00049975012	2000	0.00071392875
Geriatric	150	9697	1388	63	0.0073368739	0.0065615365	1.118164	0.00049975012	2000	0.00071392875
