sample	radius_um	injury_beads	fusing_foci	coq8a_positive_injury	observed_local_detection	random_foci_local_detection	observed_to_random_ratio	p_permutation	permutations	qc_rule
Young	50	11481	2083	149	0.0143616	0.012877994	1.1152047	0.000999001	1000	Published final beads
Young	50	10132	1987	146	0.01565249	0.014253711	1.0981344	0.001998002	1000	Raw counts ≥30
Young	50	7665	1760	130	0.018469815	0.017030872	1.0844903	0.008991009	1000	Raw counts ≥50
Young	50	11277	2065	149	0.01456536	0.013116971	1.110421	0.000999001	1000	mtRNA ≤20%
Young	50	11392	2076	149	0.014436423	0.012994601	1.1109555	0.000999001	1000	mtRNA ≤25%
Geriatric	50	9697	1388	63	0.0075142359	0.0066877389	1.1235839	0.063936064	1000	Published final beads
Geriatric	50	7705	1265	57	0.008660459	0.0075977989	1.1398642	0.046953047	1000	Raw counts ≥30
Geriatric	50	5018	1014	52	0.011916496	0.010499084	1.1350034	0.10989011	1000	Raw counts ≥50
Geriatric	50	8030	1216	60	0.0080819745	0.007650517	1.0563959	0.40759241	1000	mtRNA ≤20%
Geriatric	50	8481	1258	61	0.0081049639	0.0074144257	1.0931344	0.14685315	1000	mtRNA ≤25%
