sample	gene	fusing_beads	detection_fusing	detection_other_injury	detection_fold
Young	Myh3	2083	0.26356217	0.075973611	3.4691278
Young	Myh8	2083	0.24579933	0.075547989	3.2535522
Young	Myog	2083	0.070091215	0.013939136	5.0283758
Young	Mymk	2083	0.0081613058	0.0018088955	4.5117619
Young	Mymx	2083	0.013922228	0.0028729517	4.8459665
Young	Ncam1	2083	0.041766683	0.0092572888	4.5117619
Geriatric	Myh3	1388	0.25936599	0.044891082	5.777673
Geriatric	Myh8	1388	0.16714697	0.030809965	5.4250946
Geriatric	Myog	1388	0.067723343	0.012516548	5.4107044
Geriatric	Mymk	1388	0.007925072	0.0012035143	6.5849424
Geriatric	Mymx	1388	0.018011527	0.0020459742	8.8033989
Geriatric	Ncam1	1388	0.043227666	0.0061379227	7.0427191
