sample	radius_um	neighbor_cell_type	observed_fraction	random_foci_fraction	observed_to_random_ratio	p_permutation	permutations	p_adj_bh_across_150_composition_tests
Young	25	B cells	0.0089775817	0.010108649	0.88810897	0.090454773	2000	0.14282333
Young	25	Dendritic cells	0.025171608	0.042306207	0.59498614	0.00049975012	2000	0.0011532695
Young	25	Endothelial cells	0.0038315612	0.0043666181	0.8774665	0.25487256	2000	0.33829239
Young	25	Erythrocytes	0.00023270836	0.00038479667	0.60475671	0.24187906	2000	0.32394517
Young	25	FAPs	0.10548578	0.099263914	1.06268	0.007996002	2000	0.015376927
Young	25	Fusing Myocytes	0.28694692	0.18335059	1.5650177	0.00049975012	2000	0.0011532695
Young	25	Monocytes/Macrophages	0.12596507	0.12155379	1.0362908	0.098450775	2000	0.15382934
Young	25	MuSCs	0.014378216	0.010761436	1.3360871	0.00049975012	2000	0.0011532695
Young	25	Myonuclei	0.37990314	0.47172424	0.80535007	0.00049975012	2000	0.0011532695
Young	25	NK cells	0.0078212395	0.0085093435	0.91913551	0.25987006	2000	0.33829239
Young	25	Neutrophils	0.0015720209	0.0021170692	0.74254584	0.12593703	2000	0.1870352
Young	25	Pericytes and Smooth muscle cells	0.017494747	0.016821021	1.0400527	0.46976512	2000	0.57758006
Young	25	Schwann and Neural/Glial cells	0.0076691299	0.0073367879	1.045298	0.58670665	2000	0.66067712
Young	25	T cells	0.0031090365	0.0037479796	0.82952332	0.13293353	2000	0.19549049
Young	25	Tenocytes	0.01144158	0.017647808	0.64832866	0.00049975012	2000	0.0011532695
Young	50	B cells	0.0093718227	0.010290644	0.91071296	0.007996002	2000	0.015376927
Young	50	Dendritic cells	0.028444722	0.042865176	0.66358578	0.00049975012	2000	0.0011532695
Young	50	Endothelial cells	0.0043156552	0.0044482336	0.97019529	0.6001999	2000	0.66688878
Young	50	Erythrocytes	0.0002938628	0.00046624537	0.63027501	0.045977011	2000	0.077489345
Young	50	FAPs	0.10552448	0.09869992	1.0691445	0.00049975012	2000	0.0011532695
Young	50	Fusing Myocytes	0.26573387	0.1817883	1.4617765	0.00049975012	2000	0.0011532695
Young	50	Monocytes/Macrophages	0.1311387	0.12099925	1.0837976	0.00049975012	2000	0.0011532695
Young	50	MuSCs	0.012648318	0.010550851	1.198796	0.00049975012	2000	0.0011532695
Young	50	Myonuclei	0.39062521	0.47368598	0.82465011	0.00049975012	2000	0.0011532695
Young	50	NK cells	0.0088453116	0.0086482614	1.0227849	0.55422289	2000	0.63460636
Young	50	Neutrophils	0.0020751557	0.0020216221	1.0264806	0.76711644	2000	0.8278235
Young	50	Pericytes and Smooth muscle cells	0.017005023	0.016871806	1.0078958	0.78410795	2000	0.84011566
Young	50	Schwann and Neural/Glial cells	0.0073352088	0.0073124943	1.0031062	0.94402799	2000	0.95678512
Young	50	T cells	0.0031650842	0.0036890616	0.85796458	0.026986507	2000	0.047623247
Young	50	Tenocytes	0.013477994	0.017662562	0.76308262	0.00049975012	2000	0.0011532695
Young	75	B cells	0.009741067	0.010127281	0.96186399	0.12193903	2000	0.18290855
Young	75	Dendritic cells	0.031087445	0.042572174	0.7302292	0.00049975012	2000	0.0011532695
Young	75	Endothelial cells	0.0045339759	0.0044203848	1.0256971	0.50774613	2000	0.60265143
Young	75	Erythrocytes	0.0002393077	0.00046034445	0.51984489	0.00049975012	2000	0.0011532695
Young	75	FAPs	0.10712405	0.099046342	1.0815548	0.00049975012	2000	0.0011532695
Young	75	Fusing Myocytes	0.25298792	0.18175392	1.3919256	0.00049975012	2000	0.0011532695
Young	75	Monocytes/Macrophages	0.13311444	0.12122914	1.09804	0.00049975012	2000	0.0011532695
Young	75	MuSCs	0.012365979	0.010549424	1.1721947	0.00049975012	2000	0.0011532695
Young	75	Myonuclei	0.39539245	0.47341114	0.83519888	0.00049975012	2000	0.0011532695
Young	75	NK cells	0.0089080958	0.0086035766	1.0353944	0.1924038	2000	0.2672275
Young	75	Neutrophils	0.0020984763	0.0020343491	1.0315222	0.57621189	2000	0.65478624
Young	75	Pericytes and Smooth muscle cells	0.017225521	0.017008578	1.0127549	0.51024488	2000	0.60265143
Young	75	Schwann and Neural/Glial cells	0.0074455421	0.007391179	1.0073551	0.8125937	2000	0.86446139
Young	75	T cells	0.0031113529	0.0035859935	0.86764044	0.0064967516	2000	0.013169091
Young	75	Tenocytes	0.014624472	0.017805913	0.82132667	0.00049975012	2000	0.0011532695
Young	100	B cells	0.0099699711	0.010210525	0.97644055	0.22238881	2000	0.30322676
Young	100	Dendritic cells	0.034282286	0.042456347	0.80747139	0.00049975012	2000	0.0011532695
Young	100	Endothelial cells	0.0044284672	0.0044152564	1.002992	0.92703648	2000	0.95243474
Young	100	Erythrocytes	0.00026030457	0.00048942072	0.53186262	0.00049975012	2000	0.0011532695
Young	100	FAPs	0.10754573	0.098955937	1.0868042	0.00049975012	2000	0.0011532695
Young	100	Fusing Myocytes	0.24519923	0.18209226	1.3465658	0.00049975012	2000	0.0011532695
Young	100	Monocytes/Macrophages	0.13357946	0.12158816	1.0986222	0.00049975012	2000	0.0011532695
Young	100	MuSCs	0.012031658	0.010530395	1.1425648	0.00049975012	2000	0.0011532695
Young	100	Myonuclei	0.39758757	0.4727923	0.84093493	0.00049975012	2000	0.0011532695
Young	100	NK cells	0.009054739	0.0086847469	1.0426025	0.064467766	2000	0.10511049
Young	100	Neutrophils	0.0019200749	0.0019695938	0.97485834	0.55122439	2000	0.63460636
Young	100	Pericytes and Smooth muscle cells	0.017374603	0.016980223	1.0232258	0.11944028	2000	0.18097012
Young	100	Schwann and Neural/Glial cells	0.0076239672	0.0075077098	1.015485	0.47576212	2000	0.58019771
Young	100	T cells	0.0032647597	0.0036194806	0.90199673	0.012993503	2000	0.024362819
Young	100	Tenocytes	0.015877767	0.017708128	0.8966372	0.020989505	2000	0.038395436
Young	150	B cells	0.010096778	0.010280142	0.98216331	0.26336832	2000	0.33829239
Young	150	Dendritic cells	0.037928808	0.042633675	0.88964438	0.00049975012	2000	0.0011532695
Young	150	Endothelial cells	0.0045213425	0.0044858265	1.0079174	0.71264368	2000	0.77950155
Young	150	Erythrocytes	0.00030366206	0.00048921868	0.62070823	0.00049975012	2000	0.0011532695
Young	150	FAPs	0.10734461	0.099082887	1.0833819	0.00049975012	2000	0.0011532695
Young	150	Fusing Myocytes	0.23720224	0.18340494	1.2933253	0.00049975012	2000	0.0011532695
Young	150	Monocytes/Macrophages	0.13310133	0.12226405	1.0886383	0.00049975012	2000	0.0011532695
Young	150	MuSCs	0.011600656	0.010562685	1.0982677	0.00049975012	2000	0.0011532695
Young	150	Myonuclei	0.40103644	0.47046581	0.8524242	0.00049975012	2000	0.0011532695
Young	150	NK cells	0.0088752843	0.0086743468	1.0231645	0.16691654	2000	0.23620265
Young	150	Neutrophils	0.001882148	0.0019451488	0.96761131	0.26386807	2000	0.33829239
Young	150	Pericytes and Smooth muscle cells	0.017550379	0.016995773	1.032632	0.0049975012	2000	0.010268838
Young	150	Schwann and Neural/Glial cells	0.0076017841	0.0075184484	1.0110842	0.48425787	2000	0.58579581
Young	150	T cells	0.0034349612	0.0036023839	0.95352447	0.15392304	2000	0.22415976
Young	150	Tenocytes	0.017520059	0.017594371	0.99577636	0.91004498	2000	0.94796352
Geriatric	25	B cells	0.013731139	0.011061428	1.2413532	0.021989005	2000	0.039739167
Geriatric	25	Dendritic cells	0.03238219	0.039488226	0.82004672	0.0069965017	2000	0.013993003
Geriatric	25	Endothelial cells	0.0036838248	0.0047108782	0.7819826	0.22188906	2000	0.30322676
Geriatric	25	Erythrocytes	0.0026467452	0.0020047033	1.3202678	0.15992004	2000	0.22917113
Geriatric	25	FAPs	0.060791347	0.048361614	1.2570165	0.00049975012	2000	0.0011532695
Geriatric	25	Fusing Myocytes	0.24396144	0.14411327	1.692845	0.00049975012	2000	0.0011532695
Geriatric	25	Monocytes/Macrophages	0.17292948	0.15436774	1.1202437	0.00049975012	2000	0.0011532695
Geriatric	25	MuSCs	0.0120972	0.0091612758	1.3204712	0.0034982509	2000	0.0073906709
Geriatric	25	Myonuclei	0.404111	0.53051674	0.76173091	0.00049975012	2000	0.0011532695
Geriatric	25	NK cells	0.007726816	0.010138589	0.76211947	0.035982009	2000	0.06133297
Geriatric	25	Neutrophils	0.0047906106	0.0059238449	0.80869955	0.22438781	2000	0.30322676
Geriatric	25	Pericytes and Smooth muscle cells	0.015631471	0.014294262	1.0935487	0.33483258	2000	0.41854073
Geriatric	25	Schwann and Neural/Glial cells	0.010186791	0.0097671654	1.0429629	0.71714143	2000	0.77950155
Geriatric	25	T cells	0.0077039665	0.0077420529	0.99508059	0.96501749	2000	0.97149412
Geriatric	25	Tenocytes	0.0076267892	0.0083479518	0.91361201	0.50474763	2000	0.60265143
Geriatric	50	B cells	0.012526133	0.010773467	1.1626836	0.010494753	2000	0.019926745
Geriatric	50	Dendritic cells	0.038913064	0.039160877	0.99367189	0.87906047	2000	0.9220914
Geriatric	50	Endothelial cells	0.0035711194	0.0042230655	0.84562254	0.10444778	2000	0.16151718
Geriatric	50	Erythrocytes	0.0021956025	0.0021013205	1.044868	0.68765617	2000	0.75844431
Geriatric	50	FAPs	0.058087848	0.049251996	1.1794009	0.00049975012	2000	0.0011532695
Geriatric	50	Fusing Myocytes	0.20711777	0.14486095	1.4297694	0.00049975012	2000	0.0011532695
Geriatric	50	Monocytes/Macrophages	0.18643786	0.15308812	1.2178466	0.00049975012	2000	0.0011532695
Geriatric	50	MuSCs	0.0096564414	0.0089814598	1.0751528	0.17891054	2000	0.25080917
Geriatric	50	Myonuclei	0.42556256	0.53202367	0.79989403	0.00049975012	2000	0.0011532695
Geriatric	50	NK cells	0.0094713625	0.010171953	0.93112528	0.25737131	2000	0.33829239
Geriatric	50	Neutrophils	0.0057825656	0.0060205297	0.96047455	0.5902049	2000	0.66067712
Geriatric	50	Pericytes and Smooth muscle cells	0.015112438	0.013633485	1.1084795	0.033483258	2000	0.057729756
Geriatric	50	Schwann and Neural/Glial cells	0.010927114	0.0097783096	1.1174849	0.062968516	2000	0.10379426
Geriatric	50	T cells	0.006372768	0.0075688581	0.84197217	0.016491754	2000	0.030540285
Geriatric	50	Tenocytes	0.008265798	0.0083615445	0.98854917	0.86656672	2000	0.91538738
Geriatric	75	B cells	0.012833575	0.010972749	1.1695861	0.00049975012	2000	0.0011532695
Geriatric	75	Dendritic cells	0.04166289	0.03942709	1.0567071	0.11094453	2000	0.16981305
Geriatric	75	Endothelial cells	0.0039176266	0.0041797794	0.93728071	0.31634183	2000	0.3987502
Geriatric	75	Erythrocytes	0.0019954171	0.0021279231	0.9377299	0.42478761	2000	0.52659621
Geriatric	75	FAPs	0.056959856	0.048667647	1.1703844	0.00049975012	2000	0.0011532695
Geriatric	75	Fusing Myocytes	0.19642241	0.14388013	1.365181	0.00049975012	2000	0.0011532695
Geriatric	75	Monocytes/Macrophages	0.19094343	0.15324143	1.2460301	0.00049975012	2000	0.0011532695
Geriatric	75	MuSCs	0.0099783028	0.0092899837	1.0740926	0.07846077	2000	0.12520336
Geriatric	75	Myonuclei	0.42673832	0.53248954	0.80140227	0.00049975012	2000	0.0011532695
Geriatric	75	NK cells	0.010365603	0.01032887	1.0035564	0.93703148	2000	0.95615458
Geriatric	75	Neutrophils	0.0059494525	0.0059768455	0.99541682	0.91904048	2000	0.95073153
Geriatric	75	Pericytes and Smooth muscle cells	0.016159281	0.013783799	1.1723387	0.00049975012	2000	0.0011532695
Geriatric	75	Schwann and Neural/Glial cells	0.011091344	0.0098957215	1.1208222	0.0024987506	2000	0.0054320666
Geriatric	75	T cells	0.0067397468	0.0075040595	0.89814675	0.007996002	2000	0.015376927
Geriatric	75	Tenocytes	0.0082430989	0.0082345484	1.0010383	0.9830085	2000	0.9830085
Geriatric	100	B cells	0.012831656	0.011009936	1.1654614	0.00049975012	2000	0.0011532695
Geriatric	100	Dendritic cells	0.043318033	0.039598491	1.0939314	0.0029985007	2000	0.0064253587
Geriatric	100	Endothelial cells	0.0045252689	0.0042339121	1.068815	0.16041979	2000	0.22917113
Geriatric	100	Erythrocytes	0.0018085068	0.0020874245	0.86638188	0.026986507	2000	0.047623247
Geriatric	100	FAPs	0.05611809	0.048399501	1.1594766	0.00049975012	2000	0.0011532695
Geriatric	100	Fusing Myocytes	0.1907503	0.14451632	1.3199222	0.00049975012	2000	0.0011532695
Geriatric	100	Monocytes/Macrophages	0.19334905	0.15394683	1.2559469	0.00049975012	2000	0.0011532695
Geriatric	100	MuSCs	0.010152854	0.0092045618	1.1030241	0.0014992504	2000	0.0033071699
Geriatric	100	Myonuclei	0.42712894	0.53112203	0.80420113	0.00049975012	2000	0.0011532695
Geriatric	100	NK cells	0.010947261	0.010544224	1.0382235	0.27886057	2000	0.35448378
Geriatric	100	Neutrophils	0.0061114812	0.0059889187	1.0204649	0.54172914	2000	0.6299176
